date,site,tree,flow_gal,afternoon_high_f,sugar_percent,weight_lb
2024-04-12,Alumni House,"Alumni House - Tree 1",0,64.9,,9.31
2024-04-13,Alumni House,"Alumni House - Tree 1",0,51.1,,9.31
2024-04-14,Alumni House,"Alumni House - Tree 1",0,77,,9.31
2024-04-15,Alumni House,"Alumni House - Tree 1",0,72,,9.31
2024-02-01,Chabad House,"Chabad House - Tree 1",0.4,41,2.44,31.75
2024-02-02,Chabad House,"Chabad House - Tree 1",0,41,,31.75
2024-02-03,Chabad House,"Chabad House - Tree 1",0.34,41,2.44,34.67
2024-02-04,Chabad House,"Chabad House - Tree 1",1.17,46,2.27,44.73
2024-02-05,Chabad House,"Chabad House - Tree 1",0.84,44.1,2.34,51.96
2024-02-06,Chabad House,"Chabad House - Tree 1",1.08,43,2.38,61.24
2024-02-07,Chabad House,"Chabad House - Tree 1",1.5,46.9,2.24,74.14
2024-02-08,Chabad House,"Chabad House - Tree 1",0.24,55.9,1.92,76.21
2024-02-09,Chabad House,"Chabad House - Tree 1",0,57,,76.21
2024-02-10,Chabad House,"Chabad House - Tree 1",0,57.9,,76.21
2024-02-11,Chabad House,"Chabad House - Tree 1",0,48,,76.21
2024-02-12,Chabad House,"Chabad House - Tree 1",0.68,42.1,2.41,82.06
2024-02-13,Chabad House,"Chabad House - Tree 1",0.42,39,2.26,85.67
2024-02-14,Chabad House,"Chabad House - Tree 1",0.52,36,2.55,90.14
2024-02-15,Chabad House,"Chabad House - Tree 1",0.72,36,2.55,12.65
2024-02-16,Chabad House,"Chabad House - Tree 1",0.34,37,2.55,15.58
2024-02-17,Chabad House,"Chabad House - Tree 1",0,32,,15.58
2024-02-18,Chabad House,"Chabad House - Tree 1",0.62,35.1,2.55,20.91
2024-02-19,Chabad House,"Chabad House - Tree 1",0.22,34,2.45,22.8
2024-02-20,Chabad House,"Chabad House - Tree 1",1.43,39.9,2.68,35.1
2024-02-21,Chabad House,"Chabad House - Tree 1",1.17,43,2.38,45.16
2024-02-22,Chabad House,"Chabad House - Tree 1",0.8,43,2.38,52.04
2024-02-23,Chabad House,"Chabad House - Tree 1",0,45,,52.04
2024-02-24,Chabad House,"Chabad House - Tree 1",0.71,39,2.51,58.15
2024-02-25,Chabad House,"Chabad House - Tree 1",2,43,2.58,75.35
2024-02-26,Chabad House,"Chabad House - Tree 1",0,57,,75.35
2024-02-27,Chabad House,"Chabad House - Tree 1",0,66,,75.35
2024-02-28,Chabad House,"Chabad House - Tree 1",0,60.1,,75.35
2024-02-29,Chabad House,"Chabad House - Tree 1",1,50,2.13,83.95
2024-03-01,Chabad House,"Chabad House - Tree 1",1.95,48.9,2.17,100.72
2024-03-02,Chabad House,"Chabad House - Tree 1",0,46.9,,14.89
2024-03-03,Chabad House,"Chabad House - Tree 1",0,55.9,,14.89
2024-03-04,Chabad House,"Chabad House - Tree 1",0,66,,14.89
2024-03-05,Chabad House,"Chabad House - Tree 1",0,54,,14.89
2024-03-06,Chabad House,"Chabad House - Tree 1",0,55,,14.89
2024-03-07,Chabad House,"Chabad House - Tree 1",0,52,,14.89
2024-03-08,Chabad House,"Chabad House - Tree 1",0,59,,14.89
2024-03-09,Chabad House,"Chabad House - Tree 1",0,48.9,,14.89
2024-03-10,Chabad House,"Chabad House - Tree 1",0,45,,14.89
2024-03-11,Chabad House,"Chabad House - Tree 1",0.54,48.9,2.17,19.53
2024-03-12,Chabad House,"Chabad House - Tree 1",0,64,,19.53
2024-03-13,Chabad House,"Chabad House - Tree 1",0,70,,19.53
2024-03-14,Chabad House,"Chabad House - Tree 1",0,73,,19.53
2024-03-15,Chabad House,"Chabad House - Tree 1",0,68,,19.53
2024-03-16,Chabad House,"Chabad House - Tree 1",0,55.9,,19.53
2024-03-17,Chabad House,"Chabad House - Tree 1",0,55,,19.53
2024-03-18,Chabad House,"Chabad House - Tree 1",0,43,,19.53
2024-03-19,Chabad House,"Chabad House - Tree 1",0.35,42.1,2.41,22.54
2024-03-20,Chabad House,"Chabad House - Tree 1",0,39.9,,22.54
2024-03-21,Chabad House,"Chabad House - Tree 1",0.55,37,2.55,27.27
2024-03-22,Chabad House,"Chabad House - Tree 1",1.08,43,2.38,36.56
2024-03-23,Chabad House,"Chabad House - Tree 1",0.43,39.9,2.23,40.26
2024-03-24,Chabad House,"Chabad House - Tree 1",0.59,43,2.38,45.33
2024-03-25,Chabad House,"Chabad House - Tree 1",0.32,59,1.81,48.09
2024-03-26,Chabad House,"Chabad House - Tree 1",0,61,,48.09
2024-03-27,Chabad House,"Chabad House - Tree 1",0,54,,48.09
2024-03-28,Chabad House,"Chabad House - Tree 1",0,46.9,,48.09
2024-03-29,Chabad House,"Chabad House - Tree 1",0,48,,48.09
2024-03-30,Chabad House,"Chabad House - Tree 1",0,57,,48.09
2024-03-31,Chabad House,"Chabad House - Tree 1",0,54,,48.09
2024-04-01,Chabad House,"Chabad House - Tree 1",0,50,,48.09
2024-04-02,Chabad House,"Chabad House - Tree 1",0,48.2,,48.09
2024-04-03,Chabad House,"Chabad House - Tree 1",0,45,,48.09
2024-04-04,Chabad House,"Chabad House - Tree 1",0,45,,48.09
2024-04-05,Chabad House,"Chabad House - Tree 1",0,44.1,,48.09
2024-04-06,Chabad House,"Chabad House - Tree 1",0,48,,48.09
2024-04-07,Chabad House,"Chabad House - Tree 1",0,60.1,,48.09
2024-04-08,Chabad House,"Chabad House - Tree 1",0,63,,48.09
2024-04-09,Chabad House,"Chabad House - Tree 1",0,77,,48.09
2024-04-10,Chabad House,"Chabad House - Tree 1",0,70,,48.09
2024-04-11,Chabad House,"Chabad House - Tree 1",0,66.9,,48.09
2024-04-12,Chabad House,"Chabad House - Tree 1",0,64.9,,48.09
2024-04-13,Chabad House,"Chabad House - Tree 1",0,51.1,,48.09
2024-04-14,Chabad House,"Chabad House - Tree 1",0,77,,48.09
2024-04-15,Chabad House,"Chabad House - Tree 1",0,72,,48.09
2024-02-01,Red Barn,"Red Barn - Tree 1",0.38,41,2.44,12.73
2024-02-02,Red Barn,"Red Barn - Tree 1",0,41,,12.73
2024-02-03,Red Barn,"Red Barn - Tree 1",0.32,41,2.44,15.48
2024-02-04,Red Barn,"Red Barn - Tree 1",1.12,46,2.27,25.12
2024-02-05,Red Barn,"Red Barn - Tree 1",0.8,44.1,2.34,32
2024-02-06,Red Barn,"Red Barn - Tree 1",1.03,43,2.38,40.85
2024-02-07,Red Barn,"Red Barn - Tree 1",1.43,46.9,2.24,53.15
2024-02-08,Red Barn,"Red Barn - Tree 1",0.23,55.9,1.92,55.13
2024-02-09,Red Barn,"Red Barn - Tree 1",0,57,,55.13
2024-02-10,Red Barn,"Red Barn - Tree 1",0,57.9,,55.13
2024-02-11,Red Barn,"Red Barn - Tree 1",0,48,,55.13
2024-02-12,Red Barn,"Red Barn - Tree 1",0.65,42.1,2.41,60.72
2024-02-13,Red Barn,"Red Barn - Tree 1",0.4,39,2.26,64.16
2024-02-14,Red Barn,"Red Barn - Tree 1",0.49,36,2.55,68.37
2024-02-15,Red Barn,"Red Barn - Tree 1",0.69,36,2.55,74.31
2024-02-16,Red Barn,"Red Barn - Tree 1",0.32,37,2.55,77.06
2024-02-17,Red Barn,"Red Barn - Tree 1",0,32,,77.06
2024-02-18,Red Barn,"Red Barn - Tree 1",0.59,35.1,2.55,82.13
2024-02-19,Red Barn,"Red Barn - Tree 1",0.21,34,2.45,83.94
2024-02-20,Red Barn,"Red Barn - Tree 1",1.36,39.9,2.68,95.64
2024-02-21,Red Barn,"Red Barn - Tree 1",1.12,43,2.38,23.57
2024-02-22,Red Barn,"Red Barn - Tree 1",0.76,43,2.38,30.1
2024-02-23,Red Barn,"Red Barn - Tree 1",0,45,,30.1
2024-02-24,Red Barn,"Red Barn - Tree 1",0.68,39,2.51,35.95
2024-02-25,Red Barn,"Red Barn - Tree 1",1.9,43,2.58,52.29
2024-02-26,Red Barn,"Red Barn - Tree 1",0,57,,52.29
2024-02-27,Red Barn,"Red Barn - Tree 1",0,66,,52.29
2024-02-28,Red Barn,"Red Barn - Tree 1",0,60.1,,52.29
2024-02-29,Red Barn,"Red Barn - Tree 1",0.95,50,2.13,60.46
2024-03-01,Red Barn,"Red Barn - Tree 1",1.85,48.9,2.17,76.37
2024-03-02,Red Barn,"Red Barn - Tree 1",0,46.9,,76.37
2024-03-03,Red Barn,"Red Barn - Tree 1",0,55.9,,76.37
2024-03-04,Red Barn,"Red Barn - Tree 1",0,66,,76.37
2024-03-05,Red Barn,"Red Barn - Tree 1",0,54,,76.37
2024-03-06,Red Barn,"Red Barn - Tree 1",0,55,,76.37
2024-03-07,Red Barn,"Red Barn - Tree 1",0,52,,76.37
2024-03-08,Red Barn,"Red Barn - Tree 1",0,59,,76.37
2024-03-09,Red Barn,"Red Barn - Tree 1",0,48.9,,76.37
2024-03-10,Red Barn,"Red Barn - Tree 1",0,45,,76.37
2024-03-11,Red Barn,"Red Barn - Tree 1",0.51,48.9,2.17,80.76
2024-03-12,Red Barn,"Red Barn - Tree 1",0,64,,80.76
2024-03-13,Red Barn,"Red Barn - Tree 1",0,70,,80.76
2024-03-14,Red Barn,"Red Barn - Tree 1",0,73,,80.76
2024-03-15,Red Barn,"Red Barn - Tree 1",0,68,,80.76
2024-03-16,Red Barn,"Red Barn - Tree 1",0,55.9,,80.76
2024-03-17,Red Barn,"Red Barn - Tree 1",0,55,,80.76
2024-03-18,Red Barn,"Red Barn - Tree 1",0,43,,80.76
2024-03-19,Red Barn,"Red Barn - Tree 1",0.33,42.1,2.41,83.6
2024-03-20,Red Barn,"Red Barn - Tree 1",0,39.9,,83.6
2024-03-21,Red Barn,"Red Barn - Tree 1",0.52,37,2.55,88.07
2024-03-22,Red Barn,"Red Barn - Tree 1",1.03,43,2.38,96.93
2024-03-23,Red Barn,"Red Barn - Tree 1",0.41,39.9,2.23,14.62
2024-03-24,Red Barn,"Red Barn - Tree 1",0.56,43,2.38,19.44
2024-03-25,Red Barn,"Red Barn - Tree 1",0.3,59,1.81,22.02
2024-03-26,Red Barn,"Red Barn - Tree 1",0,61,,22.02
2024-03-27,Red Barn,"Red Barn - Tree 1",0,54,,22.02
2024-03-28,Red Barn,"Red Barn - Tree 1",0,46.9,,22.02
2024-03-29,Red Barn,"Red Barn - Tree 1",0,48,,22.02
2024-03-30,Red Barn,"Red Barn - Tree 1",0,57,,22.02
2024-03-31,Red Barn,"Red Barn - Tree 1",0,54,,22.02
2024-04-01,Red Barn,"Red Barn - Tree 1",0,50,,22.02
2024-04-02,Red Barn,"Red Barn - Tree 1",0,48.2,,22.02
2024-04-03,Red Barn,"Red Barn - Tree 1",0,45,,22.02
2024-04-04,Red Barn,"Red Barn - Tree 1",0,45,,22.02
2024-04-05,Red Barn,"Red Barn - Tree 1",0,44.1,,22.02
2024-04-06,Red Barn,"Red Barn - Tree 1",0,48,,22.02
2024-04-07,Red Barn,"Red Barn - Tree 1",0,60.1,,22.02
2024-04-08,Red Barn,"Red Barn - Tree 1",0,63,,22.02
2024-04-09,Red Barn,"Red Barn - Tree 1",0,77,,22.02
2024-04-10,Red Barn,"Red Barn - Tree 1",0,70,,22.02
2024-04-11,Red Barn,"Red Barn - Tree 1",0,66.9,,22.02
2024-04-12,Red Barn,"Red Barn - Tree 1",0,64.9,,22.02
2024-04-13,Red Barn,"Red Barn - Tree 1",0,51.1,,22.02
2024-04-14,Red Barn,"Red Barn - Tree 1",0,77,,22.02
2024-04-15,Red Barn,"Red Barn - Tree 1",0,72,,22.02
